"","YEAR_1994","YEAR_1995","YEAR_1996","YEAR_1997","YEAR_1998","YEAR_1999","YEAR_2000","YEAR_2001","YEAR_2002","YEAR_2003","YEAR_2004","YEAR_2005","YEAR_2006","YEAR_2007","YEAR_2008","YEAR_2009","YEAR_2010","YEAR_MEAN","YEAR_MEDIAN","YEAR_SD"
"nbr.val",364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364
"nbr.null",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nbr.na",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"min",0.8,0.6,1.3,1.5,1,2,1.6,1.1,1.2,1.5,2.6,1.3,1.6,1.1,1.3,1.8,0.9,1.794,1.6,0.553
"max",24.3,29.9,40.7,27.3,40.4,33.4,24.2,21.3,52,28.8,40.7,31.2,30.4,27.7,49.9,25.6,60.2,11.124,7,14.305
"range",23.5,29.3,39.4,25.8,39.4,31.4,22.6,20.2,50.8,27.3,38.1,29.9,28.8,26.6,48.6,23.8,59.3,9.33,5.4,13.752
"sum",1069.7,1188.3,1942.8,1609.9,1444.6,1811.6,1698.7,1591.2,1592.6,1781,2146.1,1750.1,1298.5,1503.7,1985.7,1349.2,1923.4,1628.651,1360.8,1006.924
"median",2.35,2.3,4.45,3.8,3.2,4.2,3.9,3.3,3.6,4,5,3.7,3,3.3,4,3.3,4,4.418,3.8,2.047
"mean",2.939,3.265,5.337,4.423,3.969,4.977,4.667,4.371,4.375,4.893,5.896,4.808,3.567,4.131,5.455,3.707,5.284,4.474,3.738,2.766
"SE.mean",0.129,0.154,0.219,0.131,0.198,0.188,0.149,0.175,0.228,0.181,0.193,0.198,0.125,0.174,0.331,0.115,0.265,0.088,0.064,0.11
"CI.mean.0.95",0.253,0.302,0.431,0.258,0.39,0.37,0.293,0.344,0.449,0.356,0.379,0.39,0.245,0.342,0.652,0.225,0.521,0.173,0.125,0.217
"var",6.012,8.599,17.503,6.264,14.337,12.864,8.09,11.132,18.961,11.95,13.536,14.338,5.671,11.014,39.965,4.78,25.583,2.804,1.476,4.423
"std.dev",2.452,2.932,4.184,2.503,3.786,3.587,2.844,3.336,4.354,3.457,3.679,3.786,2.381,3.319,6.322,2.186,5.058,1.674,1.215,2.103
"coef.var",0.834,0.898,0.784,0.566,0.954,0.721,0.609,0.763,0.995,0.707,0.624,0.788,0.668,0.803,1.159,0.59,0.957,0.374,0.325,0.76
