"","Jan_BASEFLOW","Feb_BASEFLOW","Mar_BASEFLOW","Apr_BASEFLOW","May_BASEFLOW","Jun_BASEFLOW","Jul_BASEFLOW","Aug_BASEFLOW","Sep_BASEFLOW","Oct_BASEFLOW","Nov_BASEFLOW","Dec_BASEFLOW"
"nbr.val",527,476,527,510,527,510,527,527,510,527,510,527
"nbr.null",0,0,0,0,0,0,0,0,0,0,0,0
"nbr.na",0,0,0,0,0,0,0,0,0,0,0,0
"min",1.151,0.857,0.6,0.624,0.8,0.992,1.345,1.8,1.8,0.9,1.8,1.4
"max",7.203,4.203,3.713,3.304,5.327,5.364,4.825,4.244,5.029,5.517,6.992,6.667
"range",6.052,3.346,3.113,2.68,4.527,4.372,3.48,2.444,3.229,4.617,5.192,5.267
"sum",1562.587,1115.531,980.534,814.034,956.268,1276.935,1531.435,1604.832,1661.801,1829.191,1869.671,1813.363
"median",2.8,2.402,1.757,1.528,1.64,2.317,2.885,3.129,3.472,3.513,3.708,3.42
"mean",2.965,2.344,1.861,1.596,1.815,2.504,2.906,3.045,3.258,3.471,3.666,3.441
"SE.mean",0.05,0.035,0.029,0.023,0.035,0.04,0.03,0.028,0.035,0.047,0.05,0.049
"CI.mean.0.95",0.099,0.069,0.057,0.044,0.069,0.079,0.058,0.056,0.068,0.092,0.099,0.096
"var",1.341,0.588,0.437,0.261,0.641,0.817,0.461,0.422,0.609,1.166,1.291,1.264
"std.dev",1.158,0.767,0.661,0.511,0.801,0.904,0.679,0.65,0.78,1.08,1.136,1.124
"coef.var",0.39,0.327,0.355,0.32,0.441,0.361,0.234,0.213,0.239,0.311,0.31,0.327
